Date,Open,High,Low,Close,Shares Traded,Turnover (Rs. Cr)
2013-01-21,6085.75,6094.35,6065.1,6082.3,130866385.0,6065.99
2013-01-22,6080.15,6101.3,6040.5,6048.5,129041713.0,5744.09
2013-01-23,6052.85,6069.8,6021.15,6054.3,136989190.0,5932.29
2013-01-24,6046.2,6065.3,6007.85,6019.35,185210189.0,7884.14
2013-01-25,6024.5,6080.55,6014.45,6074.65,147587200.0,6384.65
2013-01-28,6082.1,6088.4,6061.4,6074.8,113113004.0,5592.39
2013-01-29,6064.7,6111.8,6042.45,6049.9,157553752.0,8261.34
2013-01-30,6065.0,6071.95,6044.15,6055.75,124222858.0,6220.8
2013-01-31,6045.65,6058.05,6025.15,6034.75,168516750.0,8753.14
2013-02-01,6040.95,6052.95,5983.2,5998.9,159271140.0,6189.27
2013-02-04,6025.2,6038.5,5981.25,5987.25,141741868.0,6166.05
2013-02-05,5948.2,5970.35,5946.9,5956.9,136227506.0,5332.28
2013-02-06,5988.05,5990.9,5953.15,5959.2,157815926.0,5865.83
2013-02-07,5936.45,5978.5,5927.6,5938.8,157647191.0,5555.4
2013-02-08,5929.1,5953.7,5883.65,5903.5,192607376.0,6761.75
2013-02-11,5920.05,5924.15,5879.1,5897.85,121958667.0,5506.43
2013-02-12,5894.35,5927.65,5886.45,5922.5,142844560.0,4844.11
2013-02-13,5943.15,5969.5,5922.95,5932.95,142636632.0,5714.83
2013-02-14,5933.2,5940.2,5884.55,5896.95,143830565.0,7125.55
2013-02-15,5869.95,5899.95,5853.9,5887.4,125091945.0,5187.91
2013-02-18,5888.65,5911.0,5878.45,5898.2,114284193.0,4187.19
2013-02-19,5900.2,5947.55,5883.15,5939.7,100984778.0,3743.8
2013-02-20,5966.3,5971.0,5937.55,5943.05,135354164.0,5330.7
2013-02-21,5909.65,5921.15,5844.4,5852.25,159401234.0,6407.29
2013-02-22,5837.95,5873.8,5835.8,5850.3,157046865.0,5487.58
2013-02-25,5870.55,5878.4,5825.0,5854.75,125128736.0,4851.54
2013-02-26,5838.3,5838.85,5748.6,5761.35,157360222.0,5842.04
2013-02-27,5784.9,5818.2,5749.7,5796.9,175165933.0,6202.31
2013-02-28,5834.35,5849.9,5671.9,5693.05,334852895.0,12964.2
2013-03-01,5702.45,5739.45,5679.9,5719.7,174517984.0,6877.59
2013-03-04,5704.7,5712.0,5663.6,5698.5,144887325.0,5778.72
2013-03-05,5722.45,5790.1,5722.4,5784.25,154406134.0,6321.31
2013-03-06,5816.4,5828.7,5795.05,5818.6,156901392.0,6244.47
2013-03-07,5801.3,5878.0,5801.3,5863.3,134679762.0,5676.89
2013-03-08,5883.65,5952.85,5883.0,5945.7,150781148.0,6214.19
2013-03-11,5946.1,5971.2,5930.35,5942.35,125384918.0,5688.38
2013-03-12,5944.6,5952.0,5893.65,5914.1,115944389.0,5098.38
2013-03-13,5884.8,5893.85,5842.25,5851.2,116710808.0,4950.09
2013-03-14,5845.95,5920.15,5791.75,5908.95,149008437.0,7204.09
2013-03-15,5914.9,5945.65,5861.0,5872.6,152156666.0,6984.19
2013-03-18,5816.75,5850.2,5814.35,5835.25,102663402.0,4690.01
2013-03-19,5859.5,5863.6,5724.3,5745.95,182311867.0,8255.03
2013-03-20,5740.55,5745.3,5682.3,5694.4,187624850.0,7103.68
2013-03-21,5705.9,5757.75,5647.95,5658.75,179177573.0,7053.93
2013-03-22,5659.8,5691.45,5631.8,5651.35,165293291.0,5909.38
2013-03-25,5707.3,5718.4,5624.4,5633.85,150388821.0,5683.44
2013-03-26,5613.75,5655.3,5612.05,5641.6,126500524.0,4939.19
2013-03-28,5647.75,5692.95,5604.85,5682.55,209658945.0,8372.35
2013-04-01,5697.35,5720.95,5675.9,5704.4,97779717.0,3683.38
2013-04-02,5701.7,5754.6,5687.15,5748.1,106423845.0,4262.15
2013-04-03,5740.2,5744.95,5650.1,5672.9,140713330.0,5313.95
2013-04-04,5640.65,5644.45,5565.65,5574.75,134586976.0,5000.44
2013-04-05,5568.1,5577.3,5534.7,5553.25,137461477.0,5281.57
2013-04-08,5550.5,5569.2,5537.05,5542.95,97021471.0,3673.21
2013-04-09,5568.75,5603.05,5487.0,5495.1,138184712.0,5485.91
2013-04-10,5536.25,5569.25,5477.2,5558.7,128558760.0,5387.08
2013-04-11,5601.65,5610.65,5542.85,5594.0,146828501.0,6469.38
2013-04-12,5520.7,5544.5,5494.9,5528.55,127323273.0,7447.27
2013-04-15,5508.5,5592.85,5500.3,5568.4,142918219.0,7133.92
2013-04-16,5562.45,5699.25,5555.85,5688.95,142679244.0,5943.06
2013-04-17,5708.65,5732.15,5669.0,5688.7,154575403.0,7304.1
2013-04-18,5682.7,5794.35,5681.85,5783.1,149883469.0,6588.7
2013-04-22,5789.85,5844.85,5789.8,5834.4,135095797.0,6073.25
2013-04-23,5843.1,5844.3,5791.55,5836.9,132218357.0,5366.87
2013-04-25,5856.1,5924.6,5853.3,5916.3,199597725.0,9211.66
2013-04-26,5899.75,5907.05,5860.5,5871.45,141311877.0,6840.01
2013-04-29,5877.6,5918.65,5868.8,5904.1,118882089.0,5364.86
2013-04-30,5932.6,5962.3,5867.8,5930.2,153186197.0,6699.02
2013-05-02,5911.4,6019.45,5910.95,5999.35,162376438.0,7277.43
2013-05-03,5993.5,6000.3,5930.15,5944.0,145754275.0,6590.91
2013-05-06,5944.9,5976.5,5928.45,5971.05,110166713.0,4612.49
2013-05-07,5983.45,6050.5,5982.95,6043.55,136372981.0,5572.16
2013-05-08,6064.15,6083.55,6024.95,6069.3,122278698.0,5159.97
2013-05-09,6078.35,6084.7,6040.45,6050.15,109997276.0,5164.76
2013-05-10,6046.25,6105.3,6045.6,6094.75,111351573.0,5162.22
2013-05-11,6088.2,6114.55,6084.15,6107.25,7991165.0,355.74
2013-05-13,6098.2,6104.95,5972.9,5980.45,107948706.0,4633.05
2013-05-14,5989.7,6026.2,5970.05,5995.4,119265483.0,4921.65
2013-05-15,6018.85,6157.1,6018.85,6146.75,153892843.0,7240.73
2013-05-16,6128.25,6187.3,6128.25,6169.9,158635506.0,6733.31
2013-05-17,6172.95,6199.95,6146.15,6187.3,147280254.0,5870.44
2013-05-20,6198.0,6229.45,6146.05,6156.9,122252978.0,5589.97
2013-05-21,6152.35,6180.25,6102.35,6114.1,130589228.0,5122.71
2013-05-22,6127.05,6147.6,6074.45,6094.5,133763685.0,5837.19
2013-05-23,6050.4,6081.45,5955.7,5967.05,198930489.0,8230.1
2013-05-24,6010.7,6015.3,5936.8,5983.55,161622562.0,6193.0
2013-05-27,5989.4,6099.9,5975.55,6083.15,115115365.0,4961.15
2013-05-28,6086.35,6127.65,6055.4,6111.25,139668916.0,5481.14
2013-05-29,6120.45,6125.05,6069.8,6104.3,120205054.0,5135.8
2013-05-30,6072.15,6133.75,6072.15,6124.05,194092801.0,7794.82
2013-05-31,6098.7,6106.25,5975.55,5985.95,175311989.0,7223.11
2013-06-03,5997.35,6011.0,5916.35,5939.3,112123535.0,5702.24
2013-06-04,5941.1,5981.6,5910.25,5919.45,114450873.0,4990.51
2013-06-05,5908.3,5935.2,5883.7,5923.85,110223279.0,4691.39
2013-06-06,5895.0,5956.55,5869.5,5921.4,114174694.0,4961.54
2013-06-07,5900.05,5972.7,5871.3,5881.0,118346364.0,4888.65
2013-06-10,5907.9,5931.65,5857.4,5878.0,100130739.0,4304.75
2013-06-11,5848.75,5868.05,5780.35,5788.8,180902123.0,6695.57
2013-06-12,5771.75,5792.9,5738.6,5760.2,140394424.0,5894.04
2013-06-13,5709.35,5729.85,5683.1,5699.1,142041404.0,5462.45
2013-06-14,5748.95,5819.4,5739.4,5808.4,124410018.0,5121.33
2013-06-17,5820.4,5854.9,5770.25,5850.05,107160887.0,4560.84
2013-06-18,5841.9,5863.4,5804.3,5813.6,117541145.0,4591.91
2013-06-19,5805.75,5828.4,5777.9,5822.25,115539008.0,4643.17
2013-06-20,5754.15,5755.0,5645.65,5655.9,198400131.0,7148.0
2013-06-21,5639.9,5686.15,5616.85,5667.65,182410583.0,6697.18
2013-06-24,5638.05,5640.0,5566.25,5590.25,193488581.0,6308.88
2013-06-25,5606.95,5666.25,5570.25,5609.1,196571543.0,6792.49
2013-06-26,5627.95,5635.25,5579.35,5588.7,160095940.0,5939.3
2013-06-27,5647.95,5699.35,5630.95,5682.35,239029425.0,9184.29
2013-06-28,5749.5,5852.95,5749.5,5842.2,214402430.0,8753.33
2013-07-01,5834.1,5904.35,5822.2,5898.85,144794030.0,5405.72
2013-07-02,5885.5,5898.8,5852.3,5857.55,145721790.0,5163.09
2013-07-03,5811.95,5815.0,5760.4,5770.9,160523863.0,5219.24
2013-07-04,5794.75,5848.2,5786.05,5836.95,151929179.0,5429.87
2013-07-05,5889.95,5900.45,5858.45,5867.9,123586417.0,4303.93
2013-07-08,5833.15,5833.85,5775.55,5811.55,127624733.0,4823.52
2013-07-09,5834.6,5864.95,5834.6,5859.0,110427867.0,4661.55
2013-07-10,5869.9,5879.35,5802.85,5816.7,117516350.0,4820.53
2013-07-11,5894.5,5948.85,5887.95,5935.1,120195681.0,4882.29
2013-07-12,6000.5,6019.0,5951.15,6009.0,127707078.0,6591.27
2013-07-15,5991.2,6038.2,5980.95,6030.8,116275729.0,4641.97
2013-07-16,5930.8,5966.05,5910.95,5955.25,151162819.0,5915.8
2013-07-17,5972.25,5989.8,5926.75,5973.3,191516153.0,8349.59
2013-07-18,5984.7,6051.1,5974.55,6038.05,171728134.0,7774.83
2013-07-19,6057.2,6066.85,6020.25,6029.2,163311714.0,7987.75
2013-07-22,6009.75,6064.15,6004.25,6031.8,115168337.0,5117.19
2013-07-23,6064.3,6093.35,6061.3,6077.8,126469251.0,5459.62
2013-07-24,6032.2,6047.25,5962.6,5990.5,151931749.0,6413.64
2013-07-25,5970.4,5990.65,5896.4,5907.5,237081135.0,8762.77
2013-07-26,5937.95,5944.5,5869.5,5886.2,174535664.0,6419.86
2013-07-29,5869.95,5886.0,5825.8,5831.65,173430612.0,4812.3
2013-07-30,5836.05,5861.3,5747.6,5755.05,181489174.0,6006.91
2013-07-31,5738.35,5752.1,5675.75,5742.0,235469131.0,8717.16
2013-08-01,5776.9,5808.5,5676.85,5727.85,216762208.0,7164.04
2013-08-02,5750.05,5761.85,5649.0,5677.9,222494469.0,6350.26
2013-08-05,5682.4,5721.0,5661.5,5685.4,197167952.0,5575.21
2013-08-06,5664.9,5664.9,5521.8,5542.25,216227972.0,6424.42
2013-08-07,5549.3,5561.45,5486.85,5519.1,245010773.0,7725.23
2013-08-08,5510.05,5577.6,5510.05,5565.65,204918722.0,6968.85
2013-08-12,5606.7,5644.1,5557.1,5612.4,195708484.0,7063.92
2013-08-13,5600.25,5704.75,5578.9,5699.3,222997337.0,7073.34
2013-08-14,5715.4,5754.55,5690.2,5742.3,223656483.0,6970.2
2013-08-16,5705.45,5716.6,5496.05,5507.85,248094094.0,8807.27
2013-08-19,5497.55,5499.65,5360.65,5414.75,219672819.0,6713.03
2013-08-20,5353.45,5417.8,5306.35,5401.45,261052792.0,7982.22
2013-08-21,5494.45,5504.1,5268.45,5302.55,255004311.0,8509.29
2013-08-22,5282.8,5418.95,5254.05,5408.45,284468531.0,9075.86
2013-08-23,5428.75,5478.8,5377.8,5471.75,251511910.0,7763.2
2013-08-26,5499.4,5528.7,5454.45,5476.5,241996358.0,6465.02
2013-08-27,5426.5,5427.4,5274.25,5287.45,306037010.0,8236.84
2013-08-28,5233.45,5317.7,5118.85,5285.0,335993745.0,10705.51
2013-08-29,5316.5,5428.9,5303.0,5409.05,326499273.0,10580.48
2013-08-30,5407.45,5493.3,5360.2,5471.8,336401705.0,11431.52
2013-09-02,5480.25,5564.9,5478.85,5550.75,214232444.0,6135.94
2013-09-03,5574.7,5580.95,5323.75,5341.45,250298844.0,7304.81
2013-09-04,5358.65,5460.25,5318.9,5448.1,237230494.0,7252.61
2013-09-05,5553.75,5625.75,5552.7,5592.95,274937515.0,9484.19
2013-09-06,5617.45,5688.6,5566.15,5680.4,253030740.0,8821.54
2013-09-10,5738.5,5904.85,5738.2,5896.75,275244175.0,10307.97
2013-09-11,5887.25,5924.35,5832.7,5913.15,265006808.0,7980.51
2013-09-12,5931.15,5932.0,5815.8,5850.7,272987246.0,7667.76
2013-09-13,5828.0,5884.3,5822.9,5850.6,190768447.0,6403.37
2013-09-16,5930.3,5957.25,5798.15,5840.55,219455842.0,7819.05
2013-09-17,5824.2,5857.8,5804.9,5850.2,157938740.0,5550.64
2013-09-18,5872.75,5916.9,5840.2,5899.45,153585493.0,5369.63
2013-09-19,6044.15,6142.5,6040.15,6115.55,287191701.0,11291.28
2013-09-20,6104.55,6130.95,5932.85,6012.1,318645265.0,11587.18
2013-09-23,5945.8,5989.4,5871.4,5889.75,188322506.0,6596.17
2013-09-24,5855.0,5938.4,5854.55,5892.45,187578148.0,7002.84
2013-09-25,5901.55,5910.55,5811.1,5873.85,200162195.0,6988.96
2013-09-26,5872.8,5917.65,5864.1,5882.25,220589737.0,7761.99
2013-09-27,5905.55,5909.2,5819.3,5833.2,163067913.0,5303.31
2013-09-30,5801.05,5810.2,5718.5,5735.3,155674706.0,5642.77
